,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2012-04-26,SS,1,한화,패배, 8:0,0,1.0,0,0,0.0,4,4,1,1,0,0,0,0,0,0,16,1.0,0.25,0.25,0.75,0.0,,,,,,7+일,before
1,2012-04-29,SS,0,두산,패배, 3:4,0,1.0,0,0,0.0,3,2,1,0,0,0,0,0,0,0,9,1.0,0.333,0.333,0.833,0.0,,,,,,3일,before
2,2012-05-03,SS,1,SK,패배, 6:6,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,2,0.86,0.286,0.286,0.715,0.0,,,,,,4일,before
3,2012-05-04,SS,1,넥센,패배, 3:3,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,0,10,1.13,0.333,0.333,0.777,0.0,,,,,,1일,before
4,2012-05-08,SS,0,한화,패배, 2:3,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,5,1.5,0.333,0.4,0.844,0.0,,,,,,4일,before
5,2012-05-13,SS,1,두산,패배, 5:2,0,1.0,0,0,0.0,5,3,2,0,0,0,1,0,0,0,17,1.91,0.417,0.5,1.0,0.0,,,,,,5일,before
6,2012-05-15,SS,0,삼성,패배, 3:8,0,1.0,0,0,0.0,4,2,0,0,0,0,2,0,0,0,23,1.93,0.357,0.5,0.929,0.0,,,,,,2일,before
7,2012-08-07,SS,1,넥센,승리, 3:4,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,14,1.59,0.294,0.429,0.782,0.0,,,,,,7+일,before
8,2012-08-11,SS,1,롯데,패배, 3:1,0,0.1,0,0,0.0,3,2,1,1,0,0,1,0,0,0,14,1.83,0.316,0.458,0.879,0.0,,,,,,4일,before
9,2012-09-10,SS,0,LG,패배, 1:7,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,1,18,1.38,0.24,0.367,0.687,0.0,,,,,,7+일,before
10,2012-09-12,SS,1,롯데,패배, 3:1,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,2,1.32,0.231,0.355,0.663,0.0,,,,,,2일,before
11,2012-09-14,SS,1,롯데,승리, 1:10,0,1.0,0,0,0.0,5,5,2,0,0,0,0,0,0,2,15,1.39,0.258,0.361,0.684,0.0,,,,,,2일,before
12,2012-09-15,SS,0,SK,패배, 5:12,0,0.2,4,4,0.0,6,5,3,0,0,0,1,0,0,1,25,1.7,0.306,0.405,0.766,3.6,,,,,L,1일,before
13,2012-09-18,SS,1,두산,패배, 2:2,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,0,15,1.64,0.282,0.391,0.724,3.27,,,,,HD,3일,before
14,2012-09-20,SS,1,삼성,패배, 5:0,0,0.2,3,3,0.0,6,4,2,1,0,0,2,0,0,1,28,1.89,0.302,0.423,0.795,5.4,,,,,,2일,before
15,2012-09-29,SS,1,SK,패배, 8:1,0,0.2,0,0,0.0,2,1,0,0,0,0,1,0,0,0,10,1.86,0.295,0.426,0.79,5.11,,,,,,7+일,before
16,2012-10-02,SS,1,롯데,패배, 10:2,0,1.0,4,4,0.0,7,6,3,0,0,1,1,0,0,0,28,2.03,0.32,0.443,0.883,7.43,,,,,,3일,before
17,2013-05-01,SS,0,두산,승리, 8:1,0,2.0,0,0,0.0,9,8,2,0,0,0,1,0,0,1,27,1.5,0.25,0.333,0.583,0.0,0.07,1.06,0.005,,,7+일,before
18,2013-05-23,SS,1,한화,승리, 2:10,0,2.0,1,1,1.0,11,10,4,0,0,0,1,0,0,0,43,2.0,0.333,0.4,0.733,2.25,0.02,0.06,0.002,,,7+일,before
19,2013-05-24,SS,1,NC,패배, 10:5,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,15,1.8,0.318,0.375,0.693,1.8,0.0,0.53,0.0,,,1일,before
20,2013-05-31,SS,1,LG,패배, 11:2,0,1.0,3,3,3.0,7,5,3,0,0,0,0,0,1,0,16,2.0,0.37,0.419,0.789,6.0,0.03,-2.47,-0.007,,,7일,before
21,2013-06-06,SS,0,롯데,패배, 3:13,0,1.0,4,4,4.0,8,7,4,1,0,0,1,0,0,1,30,2.43,0.412,0.462,0.903,10.29,0.12,-3.47,-0.027,,,6일,before
22,2013-09-20,SS,1,넥센,패배, 6:0,0,2.0,0,0,0.0,8,6,0,0,0,0,1,0,1,1,27,2.0,0.35,0.426,0.801,8.0,0.07,2.01,0.01,,,7+일,before
23,2013-09-21,SS,0,두산,패배, 6:8,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,11,1.8,0.326,0.4,0.749,7.2,0.18,0.53,0.014,,,1일,before
24,2013-09-24,SS,1,롯데,패배, 8:2,0,3.0,0,0,0.0,11,10,1,0,0,0,1,0,0,6,53,1.54,0.283,0.361,0.663,5.54,0.12,1.59,0.023,,,3일,before
25,2013-09-27,SS,0,SK,패배, 1:1,0,0.0,0,0,0.0,2,1,1,0,0,0,1,0,0,0,7,1.69,0.296,0.381,0.696,5.54,3.46,-0.9,-0.199,,,3일,before
26,2013-09-28,SS,0,SK,승리, 14:6,0,1.0,0,0,0.0,5,5,1,0,0,0,0,0,0,2,25,1.64,0.288,0.368,0.673,5.14,0.02,0.53,0.001,,,1일,before
27,2013-10-02,SS,1,SK,패배, 9:0,0,5.0,2,2,2.0,24,22,7,0,0,0,2,0,0,4,92,1.68,0.296,0.37,0.679,4.74,0.19,0.64,-0.006,,,4일,before
28,2014-03-30,SS,0,삼성,패배, 5:8,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,2,16,1.0,0.0,0.25,0.25,0.0,0.06,0.64,0.003,,,7+일,before
29,2014-04-03,SS,1,NC,패배, 9:3,0,4.1,0,0,0.5,19,16,3,0,0,0,3,0,0,4,71,1.31,0.158,0.304,0.462,0.0,0.09,1.99,-0.008,,,4일,before
30,2014-04-06,SS,0,두산,패배, 1:4,0,1.0,2,2,2.0,6,5,2,0,1,0,1,0,0,2,29,1.58,0.208,0.345,0.637,2.84,0.53,-1.36,-0.095,,,3일,before
31,2014-04-09,SS,0,넥센,패배, 7:10,0,4.0,3,3,2.5,19,16,4,2,0,1,3,0,0,6,83,1.65,0.225,0.354,0.754,4.35,0.56,0.68,-0.039,,,3일,before
32,2014-04-15,SS,1,한화,승리, 4:5,1,5.0,1,1,1.0,22,19,5,0,0,0,3,0,0,8,93,1.63,0.237,0.357,0.713,3.52,1.1,1.78,0.118,58,,6일,before
33,2014-04-20,SS,0,SK,승리, 4:1,1,6.2,1,1,1.0,26,23,4,1,0,0,3,0,0,4,117,1.45,0.22,0.333,0.65,2.86,1.42,3.37,0.373,63,W,5일,before
34,2014-04-29,SS,1,SK,패배, 18:5,1,1.0,5,5,3.45,10,3,2,0,1,0,4,0,2,0,34,1.65,0.235,0.381,0.734,4.7,1.5,-3.33,-0.273,25,L,7+일,before
35,2014-05-05,SS,1,넥센,패배, 16:8,1,0.1,6,6,4.45,7,3,2,0,0,0,3,0,1,1,29,1.84,0.25,0.411,0.775,6.94,1.68,-4.06,-0.325,21,L,6일,before
36,2014-05-10,SS,0,한화,승리, 11:5,0,1.0,1,1,1.7,6,5,2,0,0,0,1,0,0,0,22,1.89,0.258,0.415,0.781,7.03,0.06,-0.93,0.001,,,5일,before
37,2014-05-13,SS,0,NC,패배, 5:6,0,1.1,0,0,1.2,7,5,1,1,0,0,2,0,0,2,29,1.91,0.255,0.416,0.783,6.66,0.64,-0.83,-0.149,,,3일,before
38,2014-05-16,SS,1,삼성,패배, 4:3,0,2.0,2,2,2.0,8,6,2,0,0,0,1,0,0,1,30,1.88,0.26,0.417,0.782,6.83,0.92,-0.72,-0.13,,,3일,before
39,2014-05-18,SS,1,삼성,패배, 8:2,0,1.0,0,0,0.0,4,3,1,0,0,0,1,0,0,1,18,1.88,0.262,0.419,0.783,6.59,0.27,0.64,0.011,,,2일,before
40,2014-05-21,SS,1,LG,패배, 4:0,0,1.2,1,1,1.5,6,6,1,0,0,1,0,0,0,3,26,1.81,0.257,0.408,0.789,6.53,0.35,-0.53,-0.091,,,3일,before
41,2014-05-23,SS,0,롯데,패배, 2:3,0,3.0,3,3,3.0,17,11,2,0,0,0,6,0,0,3,76,1.89,0.25,0.415,0.778,6.75,1.37,-1.07,-0.191,,L,2일,before
42,2014-05-28,SS,1,두산,패배, 10:6,0,0.1,2,2,2.0,4,3,2,1,0,0,1,0,0,0,15,1.96,0.26,0.423,0.801,7.22,0.55,-2.19,-0.087,,,5일,before
43,2014-05-29,SS,1,두산,패배, 15:10,0,2.0,1,1,1.0,9,9,3,2,0,0,0,0,0,1,33,1.93,0.265,0.419,0.809,7.07,0.09,0.28,0.001,,,1일,before
44,2014-05-31,SS,1,NC,패배, 8:7,0,1.0,0,0,1.05,5,3,1,0,0,0,1,0,0,2,21,1.94,0.266,0.418,0.806,6.87,3.46,0.15,-0.094,BLSV,,2일,before
45,2014-06-04,SS,0,삼성,패배, 5:14,1,4.2,6,6,6.0,22,19,7,1,0,2,3,0,0,5,94,1.96,0.278,0.422,0.852,7.4,0.76,-4.21,-0.297,28,L,4일,before
46,2014-06-08,SS,0,LG,패배, 3:20,0,2.0,6,6,6.0,12,9,4,0,1,1,2,0,0,2,51,2.01,0.287,0.427,0.888,8.31,0.02,-3.97,0.0,,,4일,before
47,2014-06-10,SS,1,한화,패배, 16:15,0,0.1,2,2,1.3,4,2,1,1,0,0,2,0,0,1,21,2.06,0.29,0.433,0.9,8.66,1.58,-1.63,-0.34,,,2일,before
48,2014-09-07,SS,0,NC,패배, 3:6,0,0.1,0,0,0.0,2,2,1,0,0,0,0,0,0,1,6,2.07,0.292,0.433,0.901,8.59,0.05,0.13,0.001,,,7+일,before
49,2014-09-10,SS,1,LG,패배, 12:6,0,4.0,0,0,0.0,12,11,0,0,0,0,1,0,0,2,46,1.92,0.275,0.415,0.855,7.88,0.01,2.57,0.003,,,3일,before
50,2014-09-14,SS,0,한화,패배, 6:10,0,1.0,0,0,0.0,4,3,0,0,0,0,1,0,0,0,13,1.9,0.27,0.412,0.844,7.71,0.09,0.64,0.006,,,4일,before
51,2014-10-04,SS,1,삼성,패배, 10:5,0,3.0,2,2,2.0,13,11,6,0,0,0,1,0,0,0,49,1.92,0.286,0.42,0.859,7.62,0.84,-0.07,-0.098,,,7+일,before
52,2014-10-07,SS,0,넥센,패배, 3:6,0,2.0,0,0,0.35,8,7,2,0,0,0,1,0,0,1,30,1.91,0.286,0.419,0.852,7.33,0.26,2.25,0.029,,,3일,before
53,2014-10-12,SS,1,삼성,패배, 8:4,1,4.2,3,3,3.0,21,17,4,0,0,0,3,0,0,2,87,1.88,0.282,0.414,0.832,7.21,1.31,-0.37,-0.121,43,L,5일,before
54,2015-04-18,SS,1,넥센,패배, 5:1,0,2.2,1,0,1.0,10,9,1,1,0,0,1,0,0,6,45,0.75,0.111,0.2,0.422,0.0,0.27,1.05,0.029,,,7+일,before
55,2015-04-22,SS,1,롯데,패배, 7:6,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,1,7,0.6,0.091,0.167,0.349,0.0,0.59,1.12,0.028,,,4일,before
56,2015-04-25,SS,0,두산,승리, 5:4,0,1.0,0,0,0.0,3,2,0,0,0,0,1,0,0,1,19,0.69,0.077,0.2,0.354,0.0,1.96,1.09,0.065,,,3일,before
57,2015-04-26,SS,0,두산,패배, 3:4,0,1.1,1,1,1.0,9,6,2,1,0,0,3,1,0,1,25,1.41,0.158,0.333,0.596,1.59,2.57,-0.41,-0.194,BLSV,,1일,before
58,2015-04-29,SS,1,한화,승리, 4:9,0,1.2,0,0,0.0,7,6,1,0,0,0,1,0,0,1,36,1.36,0.16,0.323,0.563,1.23,1.39,1.11,0.094,,HD,3일,before
59,2015-05-02,SS,1,SK,승리, 2:5,0,1.0,1,1,0.0,7,4,1,0,0,0,3,0,0,1,28,1.68,0.172,0.368,0.609,2.16,2.07,0.32,0.002,,,3일,before
60,2015-05-06,SS,0,NC,패배, 4:5,0,1.0,0,0,0.0,4,4,1,0,0,0,0,0,0,0,14,1.61,0.182,0.357,0.599,1.93,1.35,0.61,0.074,,HD,4일,before
61,2015-05-07,SS,0,NC,승리, 4:2,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,5,1.55,0.176,0.349,0.584,1.86,2.96,0.26,0.069,,HD,1일,before
62,2015-05-08,SS,0,넥센,패배, 4:5,0,0.2,1,1,1.0,3,3,1,0,0,1,0,0,0,2,10,1.55,0.189,0.348,0.672,2.61,2.55,1.43,-0.211,,L,1일,before
63,2015-05-10,SS,0,넥센,승리, 11:6,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,2,21,1.37,0.171,0.32,0.613,2.31,1.23,0.91,0.125,,HD,2일,before
64,2015-05-13,SS,1,KT,승리, 8:9,0,1.2,0,0,0.0,5,5,1,0,0,0,0,0,0,1,14,1.28,0.174,0.309,0.592,2.03,1.64,1.43,0.229,,,3일,before
