,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2016-05-27,SS,0,KT,패배, 0:8,0,3.1,0,0,0.0,12,12,2,0,0,0,0,0,0,3,37,0.6,0.167,0.167,0.334,0.0,0.01,2.57,0.002,,,7+일,before
1,2016-05-31,SS,1,삼성,패배, 4:1,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,11,0.46,0.133,0.133,0.266,0.0,0.1,0.64,0.008,,,4일,before
2,2016-06-02,SS,1,삼성,패배, 14:6,0,3.2,1,1,2.2,16,13,4,1,0,0,2,0,0,3,57,1.0,0.214,0.258,0.508,1.13,0.03,-0.99,-0.009,,,2일,before
3,2016-06-08,SS,0,NC,패배, 3:7,0,4.2,2,2,2.0,19,17,3,1,0,1,1,0,1,5,76,0.95,0.2,0.26,0.571,2.13,0.12,0.93,-0.013,,,6일,before
4,2016-06-14,SS,1,롯데,승리, 6:9,1,4.2,5,5,5.0,23,20,7,0,0,0,3,0,0,1,94,1.27,0.246,0.315,0.638,4.15,1.14,-2.06,-0.308,28,,6일,before
5,2016-06-19,SS,0,한화,승리, 11:6,1,2.2,3,3,3.0,14,13,5,1,0,1,1,0,0,0,44,1.4,0.269,0.333,0.718,4.95,0.54,-1.77,-0.058,35,,5일,before
6,2016-06-25,SS,0,LG,승리, 8:6,1,6.0,4,4,4.0,28,26,9,1,0,0,2,0,0,3,97,1.5,0.288,0.348,0.733,5.19,1.01,-1.15,-0.19,39,,6일,before
7,2016-07-01,SS,1,KIA,승리, 7:10,1,5.2,2,2,2.0,25,20,5,1,1,0,4,0,0,3,87,1.52,0.282,0.35,0.737,4.83,0.55,1.22,0.161,50,W,6일,before
8,2016-07-10,SS,1,NC,승리, 7:9,1,1.1,3,2,2.5,11,7,4,0,0,0,3,0,0,1,43,1.67,0.298,0.373,0.77,5.18,1.6,-1.8,-0.197,34,,7+일,before
9,2016-07-22,SS,0,SK,패배, 6:7,1,4.1,4,3,3.65,20,19,9,1,0,1,0,0,0,2,61,1.71,0.32,0.382,0.815,5.3,1.25,-1.19,-0.273,33,,7+일,before
10,2016-08-07,SS,1,SK,승리, 1:4,1,5.2,1,1,1.0,26,24,8,2,0,0,2,0,0,8,97,1.72,0.322,0.383,0.814,4.81,1.05,2.34,0.17,55,W,7+일,before
11,2016-08-13,SS,0,두산,패배, 0:8,1,4.0,8,8,8.0,23,17,7,0,0,1,2,0,2,3,84,1.77,0.33,0.394,0.839,5.94,0.89,-5.43,-0.318,17,L,6일,before
12,2016-08-19,SS,1,NC,패배, 7:0,1,5.2,3,3,3.0,27,25,9,0,0,0,1,0,1,3,103,1.77,0.333,0.396,0.831,5.81,0.98,0.58,-0.068,41,L,6일,before
13,2016-08-25,SS,1,LG,패배, 9:4,1,2.1,6,6,4.8,15,13,6,1,0,1,2,0,0,2,63,1.84,0.341,0.404,0.858,6.55,0.74,-3.15,-0.299,21,L,6일,before
14,2016-09-03,SS,1,한화,패배, 13:11,1,2.0,5,5,3.95,13,12,7,2,0,0,0,0,0,2,54,1.89,0.353,0.41,0.879,7.11,1.09,-3.03,-0.314,24,,7+일,before
15,2016-09-07,SS,0,LG,패배, 0:11,0,3.0,4,4,4.35,15,13,4,0,0,1,0,0,2,3,54,1.87,0.35,0.41,0.882,7.35,0.26,-2.03,-0.01,,,4일,before
16,2016-09-11,SS,1,두산,패배, 5:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,9,1.84,0.346,0.405,0.872,7.23,0.1,0.64,0.008,,,4일,before
17,2017-04-04,SS,0,롯데,패배, 2:5,1,6.0,5,5,5.0,24,24,8,1,0,2,0,0,0,5,84,1.33,0.333,0.333,0.958,7.5,0.39,-1.37,-0.289,41,L,7+일,before
18,2017-04-09,SS,0,두산,승리, 13:2,1,7.0,2,2,2.0,27,24,3,0,0,1,3,0,0,5,88,1.08,0.229,0.275,0.713,4.85,0.1,2.24,0.062,65,W,5일,before
19,2017-04-15,SS,0,KIA,패배, 2:5,1,7.0,5,5,5.0,30,30,11,1,0,1,0,0,0,1,89,1.25,0.282,0.309,0.771,5.4,0.49,-0.76,-0.229,36,L,6일,before
20,2017-04-21,SS,1,롯데,승리, 1:4,1,7.0,0,0,0.0,23,22,2,0,0,0,1,0,0,6,87,1.04,0.24,0.269,0.649,4.0,0.96,4.24,0.439,78,W,6일,before
21,2017-04-27,SS,1,두산,승리, 3:7,1,8.0,3,3,3.0,31,30,7,0,0,2,1,0,0,7,109,1.03,0.238,0.267,0.659,3.86,0.86,1.84,0.073,62,W,6일,before
22,2017-05-03,SS,1,KIA,패배, 2:1,1,7.0,2,2,2.0,28,24,4,2,1,0,3,0,0,6,102,1.02,0.227,0.265,0.648,3.64,1.08,2.24,0.102,64,L,6일,before
23,2017-05-10,SS,0,NC,패배, 0:3,1,6.0,3,3,3.0,25,25,7,2,0,0,0,0,0,8,109,1.04,0.235,0.267,0.647,3.75,0.96,0.63,-0.066,54,L,7일,before
24,2017-05-16,SS,1,한화,승리, 1:2,1,8.0,1,0,1.0,27,26,4,0,0,0,0,0,0,8,94,0.96,0.224,0.254,0.605,3.21,1.08,3.84,0.427,80,W,6일,before
25,2017-05-21,SS,0,KT,패배, 4:13,1,2.2,9,9,9.0,21,17,9,2,1,1,2,0,1,1,71,1.11,0.248,0.283,0.679,4.45,0.66,-7.71,-0.447,3,L,5일,before
26,2017-05-27,SS,1,삼성,승리, 4:7,1,6.0,4,4,4.0,26,25,7,1,1,1,1,0,0,3,97,1.13,0.251,0.286,0.695,4.59,1.06,1.63,-0.168,44,,6일,before
27,2017-06-02,SS,1,두산,패배, 15:4,1,3.0,9,9,9.0,21,18,9,3,0,1,3,0,0,3,80,1.26,0.268,0.307,0.745,5.59,0.6,-7.18,-0.425,5,L,6일,before
28,2017-06-08,SS,0,SK,승리, 6:2,1,6.0,2,2,2.0,24,21,5,1,0,0,1,0,2,8,99,1.24,0.266,0.309,0.736,5.38,1.2,1.63,0.16,61,W,6일,before
29,2017-06-14,SS,1,NC,승리, 4:8,1,5.0,3,3,3.0,24,21,7,0,0,1,0,0,2,5,85,1.25,0.27,0.314,0.744,5.38,1.41,-0.97,-0.037,46,W,6일,before
30,2017-06-20,SS,0,한화,패배, 5:6,1,6.0,5,5,5.0,26,23,6,1,0,1,1,0,2,2,89,1.24,0.27,0.316,0.746,5.53,0.89,-1.37,-0.096,41,,6일,before
31,2017-07-06,SS,1,한화,승리, 6:13,1,6.0,4,4,4.0,26,25,9,0,0,3,1,0,0,7,92,1.27,0.276,0.321,0.772,5.56,0.59,-0.37,0.039,44,W,7+일,before
32,2017-07-12,SS,0,두산,패배, 3:4,1,5.2,1,1,1.0,22,21,6,1,0,0,1,0,0,3,87,1.27,0.277,0.321,0.765,5.33,1.13,2.23,0.203,55,,6일,before
33,2017-07-21,SS,1,KT,승리, 0:2,1,7.0,0,0,0.0,28,27,6,0,0,0,1,0,0,7,107,1.25,0.273,0.316,0.745,4.96,1.18,4.24,0.464,71,W,7+일,before
34,2017-07-27,SS,0,LG,패배, 3:4,1,5.2,2,2,2.0,25,22,7,0,0,0,1,0,1,6,111,1.26,0.275,0.319,0.743,4.87,1.39,1.38,0.097,52,,6일,before
35,2017-08-02,SS,1,SK,승리, 4:5,1,4.0,4,4,4.0,23,19,9,1,0,2,4,0,0,2,100,1.33,0.284,0.331,0.772,5.02,0.66,-1.58,-0.221,26,,6일,before
36,2017-08-08,SS,0,KIA,승리, 5:3,1,6.0,2,2,2.0,26,24,8,3,0,0,1,0,1,0,90,1.34,0.286,0.334,0.776,4.92,1.09,1.63,0.186,47,W,6일,before
37,2017-08-13,SS,1,한화,승리, 1:9,1,7.0,1,1,1.0,27,26,5,0,0,1,1,0,0,6,91,1.31,0.281,0.328,0.763,4.71,0.93,3.24,0.218,68,W,5일,before
38,2017-08-19,SS,1,NC,승리, 3:4,1,6.1,2,2,0.8,26,23,5,2,0,0,3,0,0,9,98,1.31,0.279,0.327,0.756,4.62,0.75,3.1,0.204,61,W,6일,before
39,2017-08-25,SS,0,두산,패배, 3:4,1,5.0,1,1,1.0,24,19,5,0,0,0,3,0,2,7,104,1.32,0.278,0.331,0.755,4.52,1.54,1.03,0.192,57,,6일,before
40,2017-08-31,SS,0,LG,승리, 5:3,1,7.0,3,2,3.0,29,24,5,1,0,2,1,0,1,7,104,1.3,0.275,0.328,0.755,4.43,1.0,1.24,-0.074,63,,6일,before
41,2017-09-06,SS,0,KT,패배, 4:5,1,5.0,3,3,2.15,24,23,7,2,0,0,1,0,0,4,83,1.31,0.276,0.328,0.753,4.46,1.13,0.02,-0.106,44,L,6일,before
42,2018-03-25,SS,1,한화,패배, 4:1,1,5.0,3,3,3.0,24,21,8,2,0,0,1,0,2,4,92,1.8,0.381,0.458,0.934,5.4,1.19,0.14,-0.09,42,L,7+일,before
43,2018-03-31,SS,0,삼성,승리, 4:2,1,6.0,2,2,2.0,25,23,7,0,0,0,1,0,0,3,100,1.55,0.341,0.388,0.774,4.09,1.47,1.76,0.059,52,W,6일,before
44,2018-04-06,SS,0,KIA,패배, 5:11,1,4.2,5,5,5.0,27,21,7,1,0,0,5,0,1,5,110,1.85,0.338,0.421,0.806,5.74,1.51,-2.25,-0.411,30,L,6일,before
45,2018-04-12,SS,0,롯데,승리, 5:3,1,5.0,3,3,2.15,25,23,8,1,0,0,2,0,0,7,93,1.89,0.341,0.416,0.802,5.66,1.34,0.34,-0.06,44,W,6일,before
46,2018-04-18,SS,1,NC,패배, 1:0,1,9.0,1,1,1.0,29,28,2,1,0,0,0,0,0,8,92,1.38,0.276,0.341,0.66,4.25,1.04,4.64,0.284,87,L,6일,before
47,2018-04-24,SS,0,LG,패배, 2:8,1,6.1,3,3,1.8,29,24,7,0,0,0,2,0,2,2,89,1.39,0.279,0.35,0.664,4.25,1.32,2.21,0.193,47,L,6일,before
48,2018-05-05,SS,0,KT,승리, 10:1,1,6.0,1,1,1.0,21,20,5,0,0,0,1,0,0,8,88,1.33,0.275,0.343,0.649,3.86,0.67,1.76,0.108,65,W,7+일,before
49,2018-05-13,SS,0,두산,승리, 2:1,1,7.0,1,1,1.0,24,22,3,1,0,0,1,0,1,2,85,1.22,0.258,0.327,0.618,3.49,1.13,3.39,0.331,68,W,7+일,before
50,2018-05-19,SS,1,삼성,승리, 3:6,1,6.0,3,3,3.0,30,24,8,0,0,1,5,0,1,2,104,1.33,0.267,0.345,0.656,3.6,1.34,0.76,-0.043,41,W,6일,before
51,2018-05-25,SS,1,롯데,승리, 2:13,1,7.0,2,2,2.0,27,26,5,3,0,1,1,0,0,7,99,1.27,0.259,0.332,0.655,3.48,0.62,1.39,0.1,65,W,6일,before
52,2018-05-31,SS,0,KIA,패배, 0:5,1,6.0,4,4,4.0,28,25,8,2,0,1,2,0,0,3,108,1.31,0.265,0.334,0.676,3.71,0.68,-0.24,-0.156,41,L,6일,before
53,2018-06-06,SS,1,두산,패배, 7:3,1,3.2,6,6,6.0,21,16,8,1,0,2,3,0,1,1,62,1.4,0.278,0.351,0.728,4.27,0.71,-4.12,-0.336,19,L,6일,before
54,2018-06-12,SS,1,한화,패배, 6:2,1,6.0,2,1,2.0,24,24,7,2,0,0,0,0,0,4,92,1.38,0.279,0.346,0.723,4.06,1.36,1.76,0.093,56,,6일,before
55,2018-06-17,SS,1,삼성,승리, 8:12,1,5.0,1,1,1.0,25,18,6,2,0,0,3,0,2,3,88,1.4,0.283,0.354,0.735,3.92,0.62,2.14,0.122,51,W,5일,before
56,2018-06-23,SS,1,KIA,승리, 4:9,1,6.0,2,2,2.0,25,23,6,2,0,0,1,0,0,5,85,1.39,0.281,0.35,0.729,3.86,1.14,1.76,0.091,56,W,6일,before
57,2018-06-29,SS,0,삼성,승리, 8:7,1,6.2,4,4,4.0,27,27,7,2,0,1,0,0,0,3,99,1.36,0.279,0.344,0.728,3.97,0.74,-0.99,-0.058,47,W,6일,before
58,2018-07-05,SS,1,SK,승리, 2:3,1,6.0,0,0,0.0,23,22,4,1,0,0,1,0,0,11,104,1.33,0.274,0.337,0.712,3.73,0.89,3.76,0.308,74,W,6일,before
59,2018-07-11,SS,0,한화,승리, 22:8,1,6.0,4,3,4.0,28,28,8,2,0,0,0,0,0,4,89,1.33,0.275,0.334,0.707,3.77,0.33,-1.24,0.136,46,W,6일,before
60,2018-07-19,SS,1,LG,패배, 8:3,1,3.0,7,7,7.0,19,18,9,2,0,1,1,0,0,4,78,1.39,0.284,0.342,0.732,4.24,1.17,-6.12,-0.447,16,L,7+일,before
61,2018-07-25,SS,1,KT,승리, 3:7,1,7.0,3,3,3.0,28,27,8,0,0,1,1,0,0,3,102,1.38,0.285,0.341,0.732,4.22,0.96,1.39,0.102,51,W,6일,before
62,2018-07-31,SS,0,SK,승리, 3:1,1,6.0,1,1,1.0,23,20,2,0,0,0,3,0,0,5,107,1.35,0.277,0.335,0.714,4.09,1.11,2.76,0.274,66,W,6일,before
63,2018-08-08,SS,1,KIA,승리, 6:7,1,6.0,2,1,2.0,25,24,7,2,0,0,1,0,0,4,100,1.35,0.278,0.335,0.714,3.97,1.0,1.76,0.073,55,,7+일,before
64,2018-08-14,SS,0,삼성,승리, 11:10,1,5.0,2,2,1.5,20,19,4,1,0,0,0,0,1,3,69,1.33,0.275,0.332,0.707,3.95,0.4,1.44,0.095,54,,6일,before
65,2019-03-26,SS,0,두산,패배, 2:7,1,5.0,0,0,0.0,18,16,2,0,0,0,2,0,0,2,90,0.8,0.125,0.222,0.347,0.0,0.91,2.6,0.288,63,,7+일,before
66,2019-03-31,SS,1,SK,패배, 8:7,1,6.0,1,1,1.0,23,22,3,1,0,1,0,0,1,9,82,0.64,0.132,0.195,0.432,0.82,1.09,2.12,0.247,71,,5일,before
67,2019-04-06,SS,0,KIA,승리, 14:4,1,5.0,3,3,3.0,25,21,7,0,0,0,3,0,0,4,93,1.06,0.203,0.273,0.544,2.25,1.26,-0.4,-0.115,42,W,6일,before
68,2019-04-13,SS,1,한화,승리, 3:5,1,6.0,0,0,0.0,23,20,5,0,0,0,2,0,0,4,82,1.09,0.215,0.284,0.55,1.64,0.8,3.12,0.184,64,W,7일,before
69,2019-04-19,SS,0,LG,승리, 13:3,1,6.0,3,3,3.0,25,24,7,1,0,0,1,0,0,6,93,1.14,0.233,0.292,0.574,2.25,0.51,0.12,0.056,51,W,6일,before
70,2019-04-25,SS,1,두산,승리, 6:9,1,1.1,5,5,5.0,11,9,5,2,0,2,2,0,0,1,44,1.33,0.259,0.323,0.698,3.68,0.91,-5.49,-0.375,23,,6일,before
71,2019-05-01,SS,0,SK,패배, 0:2,1,7.0,0,0,0.0,23,23,3,0,0,0,0,0,0,1,88,1.16,0.237,0.293,0.626,2.97,1.15,3.64,0.443,72,,6일,before
72,2019-05-07,SS,1,LG,패배, 12:10,1,4.1,7,7,7.0,25,24,12,2,0,0,1,0,0,3,96,1.35,0.277,0.326,0.697,4.2,1.42,-4.93,-0.496,13,,6일,before
73,2019-05-18,SS,1,롯데,승리, 1:13,1,7.0,1,1,1.0,26,26,3,0,0,0,0,0,0,7,102,1.22,0.254,0.298,0.633,3.78,0.2,2.64,0.136,74,W,7+일,before
74,2019-05-24,SS,0,삼성,승리, 10:5,1,6.0,3,3,3.0,26,24,7,0,0,1,2,0,0,6,94,1.25,0.258,0.304,0.648,3.86,1.12,0.12,-0.006,50,W,6일,before
75,2019-05-30,SS,1,LG,패배, 6:3,1,6.0,1,1,1.0,24,24,6,1,0,0,0,0,0,2,98,1.22,0.258,0.298,0.637,3.62,0.98,2.12,0.222,58,,6일,before
76,2019-06-05,SS,1,SK,패배, 6:2,1,6.0,5,5,5.0,30,26,8,1,0,0,3,0,1,5,98,1.28,0.263,0.309,0.649,3.97,1.06,-1.88,-0.308,38,L,6일,before
77,2019-06-11,SS,0,NC,승리, 9:8,1,4.0,8,5,7.5,24,21,10,1,0,0,1,0,0,2,83,1.36,0.279,0.321,0.675,4.39,0.92,-5.6,-0.526,17,,6일,before
78,2019-06-22,SS,0,롯데,패배, 1:4,1,6.0,3,3,3.0,29,26,9,2,0,0,2,0,0,6,103,1.4,0.284,0.327,0.686,4.4,0.84,0.12,-0.093,46,L,7+일,before
