,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int,trade_team
0,2008-06-20,SS,0,SK,패배, 2:12,0,2.0,2,0,0.0,8,8,1,0,0,1,0,0,0,1,31,0.5,0.125,0.125,0.625,0.0,,,,,,7+일,
1,2008-06-22,SS,0,SK,패배, 3:9,0,1.0,0,0,0.0,5,4,1,1,0,0,1,0,0,1,19,1.0,0.167,0.231,0.731,0.0,,,,,,2일,
2,2008-06-26,SS,1,LG,패배, 20:1,0,2.1,11,7,0.0,20,17,11,1,1,2,2,0,0,0,61,3.0,0.448,0.5,1.397,11.81,,,,,,4일,
3,2008-09-10,SS,1,두산,패배, 12:3,0,2.0,1,1,0.0,9,9,3,1,0,0,0,0,0,1,41,2.59,0.421,0.463,1.252,9.82,,,,,,7+일,
4,2008-09-13,SS,1,롯데,패배, 6:5,0,1.1,1,0,0.0,4,2,1,0,0,0,1,0,0,0,19,2.42,0.425,0.467,1.242,8.31,,,,,,3일,
5,2008-09-14,SS,1,롯데,패배, 9:1,0,2.0,3,3,0.0,10,9,3,1,0,0,1,0,0,3,41,2.34,0.408,0.455,1.169,9.28,,,,,,1일,
6,2008-09-25,SS,1,롯데,패배, 4:1,0,2.0,0,0,0.0,8,7,1,0,0,0,1,0,0,3,37,2.13,0.375,0.429,1.072,7.82,,,,,,7+일,
7,2008-09-26,SS,0,두산,패배, 0:1,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,1,10,2.03,0.362,0.415,1.036,7.43,,,,,,1일,
8,2008-10-01,SS,0,우리,패배, 1:2,0,0.1,1,1,0.0,5,2,1,0,0,0,3,0,0,1,24,2.27,0.367,0.443,1.06,7.9,,,,,L,5일,
9,2009-04-07,SS,0,우리,패배, 8:10,0,1.1,2,2,0.0,9,9,6,0,0,0,0,0,0,1,33,4.5,0.667,0.667,1.334,13.5,,,,,,7+일,
10,2009-04-09,SS,0,우리,패배, 5:9,0,1.0,1,1,0.0,5,4,1,0,0,0,1,0,0,1,23,3.43,0.538,0.571,1.109,11.57,,,,,,2일,
11,2009-04-14,SS,1,한화,패배, 7:5,0,1.1,1,1,0.0,7,5,2,1,0,0,2,0,0,0,28,3.27,0.5,0.571,1.127,9.82,,,,,L,5일,
12,2009-04-17,SS,1,두산,패배, 13:4,0,3.0,1,1,0.0,12,10,2,1,0,0,2,0,0,1,57,2.4,0.393,0.485,0.949,6.75,,,,,,3일,
13,2009-05-05,SS,0,한화,승리, 4:2,0,3.0,0,0,0.0,10,9,1,0,0,0,1,0,0,4,44,1.86,0.324,0.419,0.797,4.66,,,,,,7+일,
14,2009-05-07,SS,0,한화,승리, 6:5,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,1,14,1.84,0.308,0.413,0.772,4.35,,,,,HD,2일,
15,2009-05-08,SS,1,LG,패배, 11:3,0,1.1,2,2,0.0,10,8,4,0,0,1,2,0,0,0,41,2.14,0.34,0.446,0.893,5.4,,,,,,1일,
16,2009-05-14,SS,0,롯데,패배, 6:8,0,2.0,2,2,0.0,10,8,3,1,0,0,2,0,0,2,36,2.2,0.345,0.455,0.91,5.93,,,,,L,6일,
17,2009-05-17,SS,0,두산,패배, 7:8,0,3.0,0,0,0.0,11,8,1,0,0,0,3,0,0,0,37,2.04,0.317,0.442,0.855,4.86,,,,,W,3일,
18,2009-05-20,SS,1,SK,패배, 10:0,0,3.0,1,1,0.0,15,13,5,3,0,0,2,0,0,1,62,2.08,0.329,0.446,0.893,4.58,,,,,,3일,
19,2009-05-22,SS,1,롯데,승리, 3:4,0,0.1,2,2,0.0,3,3,2,0,0,1,0,0,0,0,9,2.15,0.342,0.453,0.947,5.4,,,,BLSV,,2일,
20,2009-05-27,SS,0,한화,패배, 3:8,0,2.0,2,2,0.0,9,7,1,0,0,1,2,0,0,2,40,2.09,0.326,0.442,0.942,5.73,,,,,,5일,
21,2009-05-30,SS,1,SK,승리, 3:8,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,15,2.0,0.315,0.43,0.913,5.48,,,,,,3일,
22,2009-05-31,SS,1,SK,패배, 6:5,0,2.2,2,2,0.0,14,9,3,0,0,0,4,0,0,1,57,2.06,0.316,0.442,0.911,5.61,,,,,,1일,
23,2009-06-03,SS,1,우리,승리, 2:10,0,2.0,2,2,0.0,10,10,4,0,0,1,0,0,0,1,31,2.06,0.324,0.438,0.929,5.86,,,,,,3일,
24,2009-06-05,SS,0,KIA,패배, 1:3,0,1.1,1,0,0.0,6,5,1,0,0,0,1,0,0,2,25,2.03,0.319,0.434,0.912,5.59,,,,,,2일,
25,2009-06-10,SS,0,SK,패배, 5:7,0,2.1,1,1,0.0,11,9,2,1,0,0,2,0,0,1,38,2.01,0.311,0.429,0.896,5.46,,,,,,5일,
26,2009-06-12,SS,1,두산,패배, 15:3,0,1.0,1,1,0.0,7,7,4,0,0,0,0,0,0,0,32,2.07,0.326,0.435,0.908,5.57,,,,,,2일,
27,2009-06-13,SS,1,두산,패배, 17:5,0,3.0,1,1,0.0,11,11,2,1,0,0,0,0,0,3,35,1.95,0.314,0.418,0.875,5.35,,,,,,1일,
28,2009-06-16,SS,1,롯데,승리, 2:10,0,1.1,0,0,0.0,4,4,1,0,0,0,0,0,0,1,13,1.91,0.313,0.414,0.865,5.15,,,,,,3일,
29,2009-06-18,SS,1,롯데,패배, 9:6,0,2.0,2,2,0.0,8,7,3,0,0,0,0,0,0,2,34,1.89,0.318,0.412,0.862,5.35,,,,,,2일,
30,2009-06-21,SS,0,LG,패배, 1:8,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,0,11,1.91,0.316,0.414,0.857,5.13,,,,,HD,0일,
31,2009-06-21,SS,0,LG,패배, 5:6,0,1.0,0,0,0.0,6,5,2,0,0,0,1,0,0,2,25,1.92,0.321,0.415,0.864,5.22,,,,,,3일,
32,2009-06-23,SS,1,한화,승리, 2:3,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,1,19,1.85,0.309,0.405,0.837,4.97,,,,,W,2일,
33,2009-06-24,SS,1,한화,승리, 7:9,0,0.1,4,4,0.0,5,4,3,0,0,1,1,0,0,0,22,1.93,0.319,0.415,0.873,5.79,,,,,,1일,
34,2009-06-27,SS,0,두산,승리, 12:7,0,0.0,2,2,0.0,3,1,1,0,0,0,2,0,0,0,14,2.0,0.323,0.424,0.885,6.21,,,,,,3일,
35,2009-07-02,SS,1,KIA,패배, 14:9,0,1.2,4,4,0.0,10,8,3,1,0,1,1,0,1,1,46,2.02,0.326,0.428,0.908,6.8,,,,,L,5일,
36,2009-07-14,SS,1,두산,패배, 14:9,0,1.2,2,1,0.0,8,7,3,0,0,1,0,0,0,2,24,2.01,0.33,0.426,0.921,6.75,,,,,,7+일,
37,2009-07-22,SS,0,우리,패배, 3:10,0,0.1,4,4,0.0,5,4,3,1,0,0,1,0,0,1,16,2.08,0.339,0.434,0.939,7.49,,,,,,7+일,
38,2009-07-31,SS,0,KIA,패배, 2:5,0,0.2,1,1,0.0,5,4,2,1,0,0,1,0,0,2,21,2.12,0.342,0.438,0.949,7.58,,,,,,7+일,
39,2009-08-05,SS,1,한화,승리, 2:13,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,17,2.07,0.337,0.432,0.935,7.42,,,,,,5일,
40,2009-08-07,SS,0,롯데,패배, 4:7,0,0.2,0,0,0.0,3,1,0,0,0,0,1,0,0,1,11,2.06,0.335,0.431,0.931,7.31,,,,,,2일,
41,2009-08-13,SS,0,우리,패배, 0:5,0,0.0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,2,2.08,0.338,0.433,0.936,7.31,,,,,,6일,
42,2009-08-14,SS,1,KIA,패배, 9:2,0,1.2,0,0,0.0,8,5,0,0,0,0,3,0,0,1,46,2.07,0.33,0.432,0.922,7.07,,,,,,1일,
43,2009-09-02,SS,1,KIA,패배, 12:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,1,8,2.03,0.325,0.426,0.909,6.93,,,,,,7+일,
44,2009-09-09,SS,1,LG,승리, 7:8,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,1,4,2.02,0.324,0.424,0.904,6.88,,,,,W,7일,
45,2009-09-11,SS,1,LG,패배, 3:2,0,2.1,0,0,0.0,10,10,3,0,0,0,0,0,0,3,53,1.99,0.322,0.42,0.892,6.58,,,,,,2일,
46,2009-09-15,SS,1,한화,패배, 13:7,0,1.2,0,0,0.0,7,6,1,0,0,0,1,0,0,0,38,1.96,0.318,0.416,0.88,6.38,,,,,,4일,
47,2009-09-19,SS,1,우리,승리, 0:7,0,0.1,0,0,0.0,1,1,0,0,0,0,0,0,0,0,6,1.95,0.317,0.414,0.876,6.34,,,,,,4일,
48,2009-09-20,SS,1,우리,승리, 1:9,0,1.0,0,0,0.0,3,2,0,0,0,0,1,0,0,0,14,1.93,0.314,0.414,0.871,6.23,,,,,,1일,
49,2009-09-22,SS,0,SK,패배, 1:6,0,1.2,0,0,0.0,6,3,0,0,0,0,2,0,0,2,28,1.91,0.31,0.412,0.863,6.05,,,,,,2일,
50,2009-09-23,SS,0,SK,패배, 4:7,0,2.0,1,1,0.0,7,6,2,1,0,0,0,0,0,1,27,1.88,0.31,0.41,0.863,6.0,,,,,,1일,
51,2009-09-25,SS,0,한화,패배, 1:2,0,0.0,0,0,0.0,1,1,1,1,0,0,0,0,0,0,5,1.9,0.313,0.412,0.871,6.0,,,,,,2일,
52,2010-03-28,SS,0,롯데,승리, 11:3,0,2.0,1,1,0.0,7,7,1,1,0,0,0,0,0,2,28,0.5,0.143,0.143,0.429,4.5,,,,,,7+일,before
53,2010-03-30,SS,1,두산,패배, 7:2,0,1.2,1,1,0.0,7,7,1,0,0,1,0,0,0,2,34,0.55,0.143,0.143,0.572,4.91,,,,,,2일,before
54,2010-04-02,SS,0,LG,승리, 14:5,0,0.2,2,2,0.0,7,5,3,0,0,1,2,0,0,1,25,1.62,0.263,0.333,0.965,8.31,,,,,,3일,before
55,2010-04-06,SS,0,삼성,패배, 3:7,0,2.0,0,0,0.0,8,7,1,0,0,0,1,0,0,3,38,1.42,0.231,0.31,0.81,5.68,,,,,,4일,before
56,2010-04-11,SS,1,SK,패배, 10:1,1,1.0,2,2,0.0,7,7,4,2,0,1,0,0,0,1,26,1.77,0.303,0.361,1.028,7.36,,,,38,L,5일,before
57,2010-04-17,SS,0,한화,패배, 0:6,1,5.0,3,3,0.0,23,20,6,2,0,1,3,0,0,2,96,1.78,0.302,0.373,0.996,6.57,,,,42,L,6일,before
58,2010-04-23,SS,1,KIA,승리, 3:4,1,4.1,1,1,0.0,19,15,4,0,0,0,2,0,1,2,89,1.68,0.294,0.377,0.921,5.4,,,,51,,6일,before
59,2010-04-28,SS,0,롯데,패배, 5:6,1,2.2,3,1,0.0,15,10,3,1,0,0,4,0,0,1,52,1.81,0.295,0.396,0.922,5.12,,,,41,,5일,before
60,2010-05-06,SS,0,SK,승리, 13:4,1,3.1,3,3,0.0,17,14,4,1,1,0,3,0,0,3,74,1.85,0.293,0.398,0.92,5.56,,,,40,,7+일,before
61,2010-05-14,SS,1,삼성,승리, 5:18,1,5.0,3,3,0.0,25,18,6,0,0,0,6,0,0,4,107,1.95,0.3,0.414,0.905,5.53,,,,41,W,7+일,before
62,2010-05-23,SS,0,KIA,패배, 3:13,0,1.2,3,3,0.0,8,6,1,0,0,0,2,0,0,1,34,1.94,0.293,0.411,0.885,6.14,,,,,,7+일,before
63,2010-05-29,SS,1,LG,패배, 12:9,1,3.2,5,5,0.0,19,17,7,1,1,0,1,0,0,1,78,1.97,0.308,0.413,0.902,6.82,,,,27,,6일,before
64,2010-06-03,SS,0,두산,패배, 0:9,0,3.2,2,2,0.0,16,15,4,0,0,0,1,0,0,3,63,1.91,0.304,0.403,0.869,6.63,,,,,,5일,before
65,2010-06-09,SS,1,롯데,패배, 13:3,0,2.0,3,3,0.0,12,7,4,1,0,0,1,0,1,0,45,1.94,0.316,0.41,0.887,6.98,,,,,,6일,before
66,2010-09-20,SS,1,두산,패배, 6:4,0,2.1,0,0,0.0,8,8,1,0,0,0,0,0,0,4,31,1.85,0.307,0.398,0.858,6.59,,,,,,7+일,before
67,2010-09-23,SS,0,두산,패배, 4:6,0,1.1,1,1,0.0,5,5,1,0,0,1,0,0,0,2,24,1.82,0.304,0.393,0.863,6.59,,,,,,3일,before
68,2010-09-25,SS,1,롯데,패배, 3:1,0,2.2,0,0,0.0,7,7,1,0,0,0,0,0,0,3,27,1.73,0.297,0.385,0.842,6.2,,,,,,2일,before
69,2011-04-21,SS,0,두산,패배, 1:8,0,2.0,2,2,0.0,9,8,2,2,0,0,1,0,0,0,30,1.5,0.25,0.333,0.833,9.0,,,,,,7+일,before
70,2011-05-18,SS,0,삼성,패배, 0:4,0,0.2,0,0,0.0,2,2,0,0,0,0,0,0,0,2,8,1.13,0.2,0.273,0.673,6.75,,,,,,7+일,before
71,2011-05-25,SS,1,KIA,패배, 8:1,0,4.0,1,1,0.0,16,15,5,0,0,0,0,0,0,2,58,1.2,0.28,0.296,0.656,4.05,,,,,,7일,before
72,2011-05-31,SS,0,롯데,패배, 7:8,0,3.1,2,2,0.0,14,12,2,1,0,0,2,0,0,3,64,1.2,0.243,0.293,0.617,4.5,,,,,,6일,before
73,2011-06-07,SS,1,SK,패배, 6:1,0,2.0,2,2,0.0,11,8,3,1,0,0,0,0,1,4,41,1.25,0.267,0.32,0.676,5.25,,,,,,7일,before
74,2011-06-19,SS,1,롯데,패배, 10:4,0,0.2,3,3,0.0,5,5,3,2,0,0,0,0,0,2,23,1.42,0.3,0.345,0.765,7.11,,,,,,7+일,before
75,2011-06-21,SS,0,LG,패배, 3:7,0,2.2,1,1,0.0,12,9,2,0,0,0,2,0,0,5,52,1.43,0.288,0.343,0.733,6.46,,,,,,2일,before
76,2011-07-07,SS,0,KIA,패배, 5:7,0,2.2,1,1,0.0,12,10,2,0,0,0,1,0,1,2,58,1.39,0.275,0.342,0.704,6.0,,,,,,7+일,before
77,2011-07-12,SS,1,삼성,패배, 7:4,0,0.2,0,0,0.0,3,2,0,0,0,0,1,0,0,1,11,1.39,0.268,0.341,0.693,5.79,,,,,,5일,before
78,2011-07-29,SS,0,KIA,패배, 5:10,0,1.1,0,0,0.0,5,4,0,0,0,0,0,0,1,3,22,1.3,0.253,0.333,0.666,5.4,,,,,,7+일,before
79,2011-08-02,SS,0,삼성,패배, 3:5,0,4.0,0,0,0.0,17,13,1,0,0,0,3,0,1,8,75,1.25,0.227,0.327,0.622,4.5,,,,,,4일,before
80,2011-08-06,SS,1,두산,패배, 9:5,1,2.0,7,7,0.0,15,13,8,3,0,1,0,0,2,2,57,1.46,0.277,0.37,0.766,6.58,,,,14,L,4일,before
81,2011-08-11,SS,0,롯데,패배, 3:5,0,2.0,2,2,0.0,10,6,3,0,0,0,2,1,0,2,46,1.54,0.29,0.383,0.785,6.75,,,,,L,5일,before
82,2011-08-14,SS,0,SK,패배, 0:11,0,4.1,3,3,0.0,21,17,6,2,0,0,3,0,0,5,92,1.61,0.298,0.389,0.8,6.68,,,,,,3일,before
83,2011-08-23,SS,0,LG,승리, 6:5,1,3.1,2,2,0.0,18,16,7,0,0,0,2,0,0,5,77,1.71,0.314,0.401,0.815,6.56,,,,41,,7+일,before
84,2011-08-28,SS,1,롯데,패배, 6:3,1,5.0,2,2,0.0,24,20,4,0,0,0,4,0,0,6,102,1.7,0.3,0.393,0.781,6.2,,,,53,L,5일,before
85,2011-09-03,SS,0,한화,패배, 3:4,1,6.0,1,1,0.0,24,20,4,0,0,0,2,0,1,4,95,1.61,0.289,0.383,0.75,5.59,,,,62,,6일,before
86,2011-09-10,SS,0,롯데,패배, 6:7,1,2.1,5,4,0.0,16,9,3,0,1,0,4,0,1,2,73,1.67,0.291,0.393,0.769,6.06,,,,31,,7일,before
87,2011-09-17,SS,1,삼성,패배, 11:4,1,2.2,4,4,0.0,18,15,8,0,0,0,2,0,1,3,70,1.78,0.309,0.409,0.796,6.45,,,,27,L,7일,before
88,2011-09-21,SS,0,LG,패배, 3:7,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,12,1.75,0.304,0.404,0.786,6.32,,,,,,4일,before
89,2011-09-23,SS,0,삼성,패배, 0:10,0,1.2,0,0,0.0,8,6,1,0,0,0,2,0,0,4,55,1.75,0.3,0.403,0.779,6.13,,,,,,2일,before
90,2011-09-30,SS,1,한화,승리, 0:3,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,2,17,1.71,0.295,0.397,0.766,5.98,,,,,W,7일,before
91,2011-10-01,SS,1,한화,패배, 11:9,0,2.0,4,4,0.0,10,8,2,0,0,1,2,0,0,3,50,1.72,0.293,0.397,0.775,6.4,,,,,,1일,before
92,2011-10-05,SS,1,두산,패배, 8:2,0,2.0,2,2,0.0,11,8,2,1,0,1,3,0,0,2,49,1.74,0.292,0.399,0.79,6.49,,,,,,4일,before
93,2012-04-08,SS,0,두산,패배, 11:13,0,2.1,1,1,0.0,9,9,2,1,0,0,0,0,0,1,27,0.86,0.222,0.222,0.555,3.86,,,,,,7+일,before
94,2012-04-13,SS,0,삼성,패배, 0:2,0,0.1,0,0,0.0,4,2,1,0,0,0,2,0,0,0,23,1.88,0.273,0.385,0.749,3.38,,,,,,5일,before
95,2012-04-17,SS,1,KIA,패배, 2:1,0,2.0,0,0,0.0,6,5,0,0,0,0,1,0,0,2,25,1.29,0.188,0.316,0.566,1.93,,,,,,4일,before
96,2012-04-19,SS,1,KIA,패배, 4:1,0,1.2,1,1,0.0,6,5,1,1,0,0,1,0,0,3,31,1.26,0.19,0.32,0.606,2.84,,,,,L,2일,before
97,2012-04-24,SS,0,LG,승리, 7:3,0,0.2,0,0,0.0,5,2,0,0,0,0,2,0,1,0,19,1.43,0.174,0.367,0.628,2.57,,,,,,5일,before
98,2012-04-28,SS,0,한화,승리, 7:5,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,2,15,1.25,0.154,0.333,0.564,2.25,,,,,,4일,before
99,2012-04-29,SS,0,한화,패배, 3:6,0,0.2,1,1,0.0,4,2,2,0,0,0,0,0,0,0,11,1.38,0.214,0.361,0.647,3.12,,,,,,1일,before
100,2012-05-02,SS,1,롯데,승리, 4:6,0,2.1,0,0,0.0,9,8,1,0,0,0,1,0,0,2,26,1.27,0.194,0.333,0.583,2.45,,,,,W,3일,before
101,2012-05-03,SS,1,롯데,패배, 4:2,0,0.0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,7,1.36,0.216,0.348,0.618,2.45,,,,,,1일,before
102,2012-05-05,SS,0,KIA,패배, 2:3,0,2.0,0,0,0.0,7,5,0,0,0,0,2,0,0,1,34,1.31,0.19,0.34,0.578,2.08,,,,,,2일,before
103,2012-05-08,SS,1,LG,패배, 8:2,0,1.2,4,4,0.0,10,5,2,1,0,0,4,0,0,2,41,1.57,0.213,0.387,0.664,4.3,,,,,,3일,before
104,2012-05-11,SS,0,SK,승리, 7:4,0,1.0,2,2,0.0,6,6,3,0,0,1,0,0,0,2,26,1.66,0.245,0.397,0.755,5.17,,,,,,3일,before
105,2012-05-15,SS,0,롯데,승리, 9:2,0,2.0,0,0,0.0,8,6,1,0,0,0,2,0,0,2,36,1.64,0.237,0.395,0.734,4.58,,,,,,4일,before
106,2012-05-18,SS,1,삼성,승리, 6:7,0,0.2,1,1,0.0,6,5,3,0,0,0,0,0,1,0,28,1.75,0.266,0.415,0.774,4.91,,,,,,3일,before
107,2012-05-23,SS,0,LG,승리, 10:7,0,1.1,3,3,0.0,8,7,3,0,1,1,1,0,0,0,32,1.83,0.282,0.422,0.859,5.95,,,,,,5일,before
108,2012-05-26,SS,1,한화,패배, 3:1,0,1.0,1,1,0.0,4,3,1,0,0,1,1,0,0,0,24,1.84,0.284,0.426,0.899,6.1,,,,,,3일,before
109,2012-06-12,SS,1,KIA,승리, 0:13,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,1,21,1.85,0.282,0.424,0.886,5.82,,,,,,7+일,before
110,2012-06-14,SS,1,KIA,패배, 9:6,0,2.0,2,2,0.0,10,9,5,0,0,0,1,0,0,1,34,1.94,0.31,0.44,0.911,6.08,,,,,,2일,before
111,2012-06-16,SS,1,롯데,패배, 5:4,0,2.0,0,0,0.0,8,5,0,0,0,0,2,0,0,1,31,1.87,0.293,0.431,0.877,5.61,,,,,,2일,before
112,2012-06-19,SS,0,두산,패배, 3:4,0,1.0,0,0,0.0,3,3,1,0,0,0,0,0,0,1,13,1.84,0.295,0.429,0.871,5.4,,,,,,3일,before
113,2012-06-23,SS,1,삼성,패배, 8:5,0,3.0,3,3,0.0,15,11,3,1,0,0,3,0,0,1,55,1.85,0.292,0.429,0.863,5.76,,,,,,4일,before
114,2012-07-07,SS,1,KIA,승리, 2:9,0,1.0,0,0,0.0,5,3,0,0,0,0,2,0,0,3,24,1.86,0.284,0.428,0.85,5.58,,,,,,7+일,before
115,2012-08-07,SS,0,KIA,패배, 3:4,0,1.2,1,1,0.0,7,6,1,0,0,0,1,0,0,0,26,1.82,0.278,0.421,0.83,5.57,,,,,,7+일,before
116,2012-08-10,SS,1,한화,패배, 4:2,0,0.0,0,0,0.0,1,0,0,0,0,0,1,0,0,0,5,1.86,0.278,0.425,0.834,5.57,,,,,,3일,before
117,2012-09-06,SS,0,두산,패배, 0:4,0,0.2,1,1,0.0,3,3,1,0,0,1,0,0,0,1,13,1.85,0.28,0.423,0.855,5.73,,,,,,7+일,before
118,2012-09-10,SS,0,삼성,패배, 4:9,0,2.1,0,0,0.0,8,7,1,0,0,0,1,0,0,4,34,1.78,0.272,0.414,0.83,5.35,,,,,,4일,before
119,2012-09-12,SS,1,두산,패배, 3:0,0,0.1,0,0,0.0,4,2,1,0,0,0,2,0,0,1,28,1.85,0.276,0.422,0.839,5.3,,,,,,2일,before
120,2012-09-16,SS,1,한화,패배, 8:2,0,1.0,1,1,0.0,7,5,2,1,0,0,2,0,0,1,27,1.91,0.28,0.429,0.853,5.4,,,,,,4일,before
121,2012-09-22,SS,1,KIA,승리, 4:5,0,0.1,0,0,0.0,2,1,0,0,0,0,1,0,0,0,9,1.92,0.278,0.429,0.85,5.35,,,,,W,6일,before
122,2012-09-23,SS,1,KIA,패배, 7:0,0,2.0,2,2,0.0,10,7,2,1,0,0,2,0,0,0,38,1.92,0.279,0.428,0.849,5.54,,,,,,1일,before
123,2012-09-28,SS,0,LG,승리, 11:1,0,2.0,0,0,0.0,7,6,0,0,0,0,1,0,0,1,20,1.85,0.267,0.417,0.821,5.27,,,,,,5일,before
124,2012-09-30,SS,1,삼성,패배, 9:5,0,2.0,0,0,0.0,7,6,1,1,0,0,0,0,0,2,27,1.79,0.263,0.409,0.81,5.02,,,,,,2일,before
125,2012-10-02,SS,1,두산,패배, 3:1,0,2.2,0,0,0.0,12,10,2,0,0,0,2,0,0,1,51,1.77,0.259,0.405,0.794,4.73,,,,,,2일,before
126,2013-04-14,SS,1,삼성,패배, 15:4,0,2.0,5,5,5.0,13,11,5,2,0,1,1,0,1,0,46,3.0,0.455,0.538,1.447,22.5,0.01,-3.94,-0.003,,,7+일,before
127,2013-04-18,SS,0,롯데,승리, 14:4,0,1.1,3,3,3.0,9,5,2,0,1,0,3,0,0,1,46,3.3,0.438,0.545,1.42,21.6,0.01,-2.23,0.0,,,4일,before
128,2013-06-27,SS,1,SK,패배, 6:2,0,1.0,0,0,0.0,3,3,0,0,0,0,0,0,0,0,14,2.54,0.368,0.48,1.217,16.62,0.05,0.53,0.004,,,7+일,before
129,2013-07-25,SS,1,두산,패배, 11:5,0,4.2,2,2,2.35,21,15,5,1,0,0,3,0,0,3,90,2.11,0.353,0.444,1.032,10.0,0.11,0.16,-0.016,,,7+일,before
130,2013-07-30,SS,1,한화,패배, 10:3,0,3.0,1,1,1.0,13,12,3,1,0,0,1,0,0,2,55,1.92,0.326,0.414,0.936,8.25,0.02,0.59,-0.002,,,5일,before
131,2013-08-04,SS,0,KIA,패배, 0:6,0,2.0,1,1,1.0,9,7,2,0,1,0,1,0,0,2,33,1.86,0.321,0.403,0.931,7.71,0.02,0.06,0.001,,,5일,before
132,2013-08-06,SS,0,두산,패배, 4:5,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,1,16,1.7,0.298,0.38,0.871,7.04,0.04,0.64,0.004,,,2일,before
133,2013-08-07,SS,0,두산,패배, 7:11,0,2.0,0,0,0.0,6,6,0,0,0,0,0,0,0,3,28,1.5,0.27,0.351,0.795,6.23,0.06,1.06,0.009,,,1일,before
134,2013-08-09,SS,1,SK,패배, 4:4,0,1.0,0,0,0.0,5,4,1,0,0,0,1,0,0,1,22,1.53,0.269,0.354,0.787,5.89,2.02,0.13,0.056,,,2일,before
135,2013-08-10,SS,1,한화,승리, 5:11,0,2.0,0,0,0.0,8,7,1,0,0,0,0,0,1,2,34,1.43,0.257,0.344,0.749,5.31,0.13,1.06,0.015,,,1일,before
136,2013-08-16,SS,0,롯데,패배, 3:9,0,1.1,0,0,0.0,4,4,0,0,0,0,0,0,0,2,18,1.34,0.244,0.33,0.715,4.98,0.02,0.64,0.001,,,6일,before
137,2013-08-17,SS,0,삼성,패배, 1:2,0,0.2,0,0,0.0,4,3,2,0,0,0,0,0,0,0,14,1.39,0.259,0.34,0.735,4.84,1.13,-0.13,-0.006,,,1일,before
138,2013-08-20,SS,1,LG,패배, 5:3,0,1.2,0,0,0.0,5,4,0,0,0,0,1,0,0,1,22,1.33,0.247,0.333,0.709,4.5,0.31,0.95,0.032,,,3일,before
139,2013-08-25,SS,1,KIA,패배, 9:6,1,2.2,3,3,3.0,14,13,5,3,0,0,1,0,0,1,58,1.43,0.265,0.345,0.753,5.06,1.03,-1.93,-0.224,36,L,5일,before
140,2013-08-31,SS,0,한화,패배, 2:3,0,0.1,0,0,0.0,2,0,0,0,0,0,1,0,0,0,5,1.44,0.265,0.35,0.758,5.0,0.67,-0.24,-0.013,,,6일,before
141,2013-09-03,SS,1,롯데,패배, 5:4,0,1.1,1,1,0.5,5,4,1,0,0,0,0,0,0,1,14,1.41,0.265,0.347,0.749,5.08,0.27,0.29,0.008,,,3일,before
142,2015-09-24,SS,1,SK,패배, 12:4,1,3.0,7,5,7.0,18,16,7,3,0,1,2,0,0,2,66,3.0,0.438,0.5,1.313,15.0,0.64,-5.16,-0.379,21,L,7+일,before
143,2015-09-29,SS,1,NC,패배, 6:5,0,2.0,1,1,1.0,12,9,3,0,0,0,3,0,0,0,57,3.0,0.4,0.5,1.14,10.8,0.88,0.23,-0.029,,,5일,before
144,2016-04-03,SS,1,롯데,승리, 5:6,0,1.0,1,1,1.0,6,3,1,0,0,0,2,0,0,1,23,3.0,0.333,0.5,0.833,9.0,0.86,-0.36,-0.002,,,7+일,before
145,2016-04-07,SS,0,한화,승리, 7:3,0,2.0,0,0,0.0,7,7,1,1,0,0,0,0,0,4,24,1.33,0.2,0.308,0.608,3.0,0.28,1.28,0.046,,,4일,before
146,2016-04-09,SS,0,두산,패배, 9:9,0,3.2,0,0,0.35,12,12,2,0,0,0,0,0,0,5,42,0.9,0.182,0.24,0.467,1.35,2.2,2.11,0.36,BLSV,,2일,before
147,2016-04-12,SS,1,KT,승리, 2:5,0,1.0,1,1,1.0,6,5,2,0,0,1,1,0,0,1,19,1.17,0.222,0.29,0.66,2.35,0.42,-0.36,0.002,,,3일,before
148,2016-04-14,SS,1,KT,패배, 5:4,0,2.0,1,1,1.0,9,9,3,1,0,1,0,0,0,2,34,1.24,0.25,0.3,0.772,2.79,0.5,0.28,-0.039,,,2일,before
