,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2013-09-22,SS,1,LG,패배, 6:1,0,1.0,1,1,1.00,5,5,3,0,0,0,0,0,0,0,18,3.00,0.600,0.600,1.200,9.00,0.10,0.53,-0.007,,,7+일
1,2013-09-26,SS,0,두산,패배, 1:8,0,1.0,2,2,2.00,6,6,3,0,1,0,0,0,0,0,26,3.00,0.545,0.545,1.272,13.50,0.03,-1.47,-0.004,,,4일
2,2015-09-30,SS,0,두산,승리, 17:5,0,1.0,2,2,2.00,7,6,3,0,0,0,1,0,0,1,25,4.00,0.500,0.571,1.071,18.00,0.00,-1.39,0.000,,,7+일
3,2015-10-05,SS,1,KT,패배, 2:2,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,2,20,2.50,0.333,0.455,0.788,9.00,1.94,0.61,0.137,,,5일
4,2016-06-09,SS,1,넥센,승리, 4:16,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,10,1.00,0.250,0.250,0.500,0.00,0.00,0.64,0.000,,,7+일
5,2016-06-12,SS,0,SK,승리, 11:8,0,2.1,2,2,2.00,13,9,3,0,0,0,4,0,0,2,51,2.40,0.308,0.471,0.779,5.40,0.40,0.12,-0.064,,,3일
6,2016-06-17,SS,0,KT,승리, 11:1,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,8,1.85,0.250,0.400,0.650,4.15,0.00,0.64,0.000,,,5일
7,2016-06-19,SS,0,KT,승리, 15:7,0,4.0,2,2,2.85,16,15,6,0,0,1,0,0,0,3,64,1.68,0.323,0.389,0.808,4.32,1.41,-0.59,-0.024,,,2일
8,2016-06-24,SS,1,KIA,패배, 6:2,0,1.0,3,2,3.00,6,6,3,0,0,0,0,0,0,0,17,1.82,0.351,0.405,0.837,5.79,0.63,-1.36,-0.144,,,5일
9,2016-06-26,SS,1,KIA,패배, 15:4,0,0.2,8,8,6.95,10,7,5,3,0,1,2,0,1,1,50,2.40,0.409,0.481,1.095,12.60,0.18,-6.00,-0.077,,,2일
10,2016-06-28,SS,0,두산,패배, 3:12,0,1.1,1,1,1.50,7,5,1,1,0,0,2,0,0,2,32,2.38,0.388,0.475,1.067,11.91,0.12,-0.55,-0.013,,,2일
11,2016-06-30,SS,0,두산,패배, 0:4,0,1.1,0,0,0.00,5,4,0,0,0,0,1,0,0,1,26,2.21,0.358,0.453,1.000,10.66,0.08,0.93,0.008,,,2일
12,2016-07-06,SS,1,롯데,승리, 3:12,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,17,2.05,0.339,0.433,0.951,9.88,0.01,-0.36,0.001,,,6일
13,2016-07-09,SS,0,넥센,패배, 4:7,0,0.1,1,1,1.70,4,3,2,1,0,0,1,0,0,1,20,2.21,0.356,0.451,0.993,10.29,1.34,-2.13,-0.377,BLHD,,3일
14,2016-07-10,SS,0,넥센,패배, 7:9,0,2.1,0,0,0.00,8,7,1,0,0,0,1,0,0,3,31,2.02,0.333,0.430,0.930,8.82,0.21,1.68,0.039,,,1일
15,2016-07-12,SS,1,두산,패배, 9:5,0,2.0,0,0,0.00,7,7,1,0,0,0,0,0,0,3,22,1.85,0.315,0.407,0.873,7.85,0.15,1.28,0.016,,,2일
16,2016-07-21,SS,1,SK,승리, 4:7,0,2.2,1,1,1.00,11,10,2,1,0,1,1,0,0,4,44,1.76,0.301,0.392,0.874,7.29,1.24,0.79,0.095,,HD,7+일
17,2016-07-27,SS,0,삼성,패배, 6:10,0,1.0,4,4,2.80,8,6,4,1,0,1,2,0,0,1,33,1.95,0.326,0.419,0.958,8.59,0.67,-2.46,-0.133,,,6일
18,2016-07-28,SS,0,삼성,승리, 9:5,0,2.1,0,0,0.35,7,6,1,0,0,0,0,0,0,1,34,1.81,0.316,0.402,0.918,7.77,0.37,1.96,0.030,,,1일
19,2016-07-30,SS,1,LG,패배, 13:5,0,1.1,0,0,0.00,6,4,0,0,0,0,2,0,0,1,25,1.79,0.303,0.398,0.893,7.36,0.14,-0.11,0.000,,,2일
20,2016-07-31,SS,1,LG,승리, 8:10,0,2.0,0,0,0.00,6,6,0,0,0,0,0,0,0,0,25,1.66,0.286,0.379,0.846,6.83,0.06,1.28,0.009,,,1일
21,2016-08-04,SS,1,KT,승리, 2:9,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,1,12,1.59,0.275,0.367,0.817,6.52,0.04,0.92,0.005,,,4일
22,2016-08-05,SS,0,한화,패배, 4:14,0,2.1,1,1,1.00,11,10,3,1,1,0,1,0,0,2,41,1.60,0.277,0.367,0.829,6.32,0.19,0.51,0.002,,,1일
23,2016-08-07,SS,0,한화,패배, 3:8,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,0,17,1.61,0.276,0.368,0.823,6.12,0.08,1.37,0.007,,,2일
24,2016-08-10,SS,1,롯데,승리, 5:7,0,1.2,0,0,0.00,7,6,0,0,0,0,0,0,1,1,29,1.53,0.264,0.358,0.792,5.82,3.76,1.72,0.356,,W,3일
25,2016-08-12,SS,0,LG,패배, 5:6,0,2.1,2,1,1.50,10,8,1,0,0,0,2,0,0,0,39,1.51,0.255,0.354,0.770,5.70,1.35,-0.14,-0.108,BLHD,,2일
26,2016-08-14,SS,1,KT,패배, 6:5,0,0.2,2,2,2.00,5,4,2,1,0,0,1,0,0,1,27,1.57,0.262,0.361,0.787,6.08,3.02,-1.75,-0.482,BLSV,L,2일
27,2016-08-16,SS,1,삼성,패배, 12:5,0,1.1,4,4,2.65,8,6,3,1,0,0,1,0,0,1,30,1.62,0.272,0.370,0.805,6.81,1.65,-2.37,-0.262,,L,2일
28,2016-08-18,SS,0,넥센,패배, 4:6,0,2.1,1,1,1.00,9,9,2,0,0,0,0,0,0,1,43,1.57,0.269,0.363,0.786,6.64,0.27,0.40,0.015,,,2일
29,2016-08-20,SS,0,두산,패배, 3:13,0,0.1,3,3,1.45,4,2,1,1,0,0,2,0,0,0,16,1.63,0.272,0.371,0.801,7.24,0.06,-1.70,-0.007,,,2일
30,2016-08-23,SS,1,KIA,승리, 1:12,0,1.1,0,0,0.00,6,5,1,0,0,0,1,0,0,0,22,1.63,0.270,0.370,0.793,7.02,0.01,0.92,0.001,,,3일
31,2016-08-26,SS,0,한화,패배, 4:7,0,1.2,0,0,0.00,6,5,0,0,0,0,1,0,0,2,24,1.59,0.262,0.364,0.775,6.75,0.14,1.30,0.019,,,3일
32,2016-08-31,SS,0,KT,승리, 11:0,0,2.0,0,0,0.00,8,8,2,0,0,0,0,0,0,3,21,1.57,0.261,0.359,0.762,6.46,0.01,1.28,0.001,,,5일
33,2016-09-03,SS,1,SK,패배, 10:7,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,1,6,1.54,0.258,0.356,0.755,6.36,0.20,0.36,0.010,,,3일
34,2016-09-04,SS,1,SK,패배, 9:4,0,1.0,0,0,0.00,7,4,1,0,0,0,3,0,0,0,27,1.59,0.258,0.363,0.759,6.23,0.76,-0.46,-0.029,,,1일
35,2016-09-10,SS,0,삼성,패배, 1:4,1,5.0,0,0,0.00,18,17,3,0,1,0,1,0,0,4,80,1.52,0.251,0.352,0.739,5.64,1.17,2.21,0.299,64,,6일
36,2016-09-15,SS,1,두산,패배, 4:3,1,5.2,1,1,1.00,24,21,4,0,0,1,3,0,0,4,85,1.49,0.245,0.346,0.728,5.25,1.27,2.58,0.187,58,,5일
37,2016-09-21,SS,0,LG,패배, 1:1,1,5.0,1,1,1.00,22,18,5,0,0,0,4,0,0,5,91,1.52,0.248,0.351,0.725,4.97,1.49,2.21,0.117,54,,6일
38,2016-09-27,SS,1,삼성,패배, 5:3,1,4.0,2,2,0.95,20,16,5,0,0,0,4,0,0,3,79,1.56,0.252,0.358,0.728,4.95,1.61,1.26,0.047,43,L,6일
39,2016-10-04,SS,1,넥센,패배, 3:1,1,8.2,1,1,1.00,28,27,3,1,0,0,1,0,0,6,105,1.43,0.238,0.339,0.688,4.50,1.22,4.39,0.276,79,,7일
40,2016-10-09,SS,1,KT,패배, 7:4,0,0.1,0,0,0.35,3,2,1,1,0,0,1,0,0,0,14,1.45,0.240,0.342,0.695,4.48,1.54,-0.76,-0.065,,,5일
41,2017-04-01,SS,1,롯데,패배, 3:0,0,5.2,0,0,0.00,18,17,1,0,0,0,1,0,0,11,84,0.35,0.059,0.111,0.170,0.00,0.38,3.90,0.156,,,7+일
42,2017-04-06,SS,0,한화,승리, 5:2,0,1.1,1,1,1.00,7,7,3,0,0,0,0,0,0,1,31,0.71,0.167,0.200,0.367,1.29,1.37,-0.11,0.018,,,5일
43,2017-04-11,SS,1,LG,승리, 3:4,1,5.0,1,0,1.00,26,19,4,0,0,0,5,0,1,9,109,1.17,0.186,0.300,0.486,0.75,1.53,2.03,0.156,61,,5일
44,2017-04-16,SS,1,두산,승리, 0:4,1,5.0,0,0,0.00,21,16,2,0,0,0,5,0,0,6,97,1.24,0.169,0.310,0.479,0.53,1.20,3.03,0.237,64,W,5일
45,2017-04-22,SS,0,삼성,승리, 14:6,1,2.1,5,5,4.65,13,11,4,0,0,1,2,0,0,1,47,1.40,0.200,0.333,0.576,2.79,1.18,-3.65,-0.413,28,,6일
46,2017-04-28,SS,0,KIA,패배, 3:9,1,0.2,3,3,3.00,7,3,1,1,0,0,4,0,0,0,32,1.60,0.205,0.363,0.623,4.05,1.93,-3.07,-0.296,34,L,6일
47,2017-05-03,SS,0,LG,패배, 0:13,0,2.2,7,7,7.00,17,13,5,1,0,1,3,0,1,2,70,1.76,0.233,0.389,0.715,6.35,0.31,-4.54,-0.132,,,5일
48,2017-05-06,SS,1,삼성,패배, 12:1,0,0.2,1,1,1.00,6,3,1,0,0,0,3,0,0,0,23,1.89,0.236,0.404,0.730,6.56,0.34,-1.20,-0.032,,,3일
49,2017-05-19,SS,1,SK,패배, 11:1,0,2.0,2,2,3.05,14,5,1,1,0,0,6,0,1,0,57,2.01,0.234,0.422,0.752,6.75,0.41,-2.43,-0.082,,,7+일
50,2017-06-06,SS,1,롯데,패배, 5:4,0,3.1,0,0,0.00,13,11,1,0,0,0,2,0,0,5,49,1.88,0.219,0.404,0.709,5.97,0.55,0.93,0.106,,,7+일
51,2017-06-09,SS,1,KT,승리, 5:6,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,18,1.85,0.213,0.400,0.696,5.76,3.15,0.61,0.137,,W,3일
52,2017-06-11,SS,1,KT,승리, 0:5,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,21,1.83,0.214,0.396,0.691,5.58,0.07,0.61,0.006,,,2일
53,2017-06-13,SS,0,넥센,승리, 14:5,0,3.2,0,0,0.85,15,13,1,0,0,0,2,0,0,7,76,1.72,0.200,0.378,0.650,4.98,0.97,1.49,0.029,BLHD,W,2일
54,2017-06-18,SS,0,두산,패배, 11:13,1,5.0,6,3,6.00,24,24,8,3,0,1,0,0,0,2,89,1.70,0.221,0.372,0.694,5.03,1.04,-2.97,-0.379,35,,5일
55,2017-06-24,SS,1,KIA,승리, 1:6,1,7.0,1,1,1.00,26,23,5,1,0,0,2,0,0,4,94,1.60,0.221,0.360,0.674,4.47,1.32,3.24,0.282,65,W,6일
56,2017-06-30,SS,0,롯데,패배, 0:9,1,6.0,5,5,5.00,26,24,7,2,0,2,1,0,0,5,98,1.57,0.230,0.356,0.708,4.82,0.62,-1.37,-0.161,42,L,6일
57,2017-07-07,SS,1,두산,패배, 6:1,1,5.0,4,4,4.00,25,23,8,3,0,3,2,0,0,6,103,1.60,0.242,0.360,0.766,5.02,0.74,-0.97,-0.186,39,L,7일
58,2017-07-13,SS,0,KIA,패배, 1:7,1,3.2,5,5,5.00,20,17,6,1,0,0,3,0,0,4,96,1.66,0.250,0.366,0.773,5.46,1.20,-2.83,-0.299,30,L,6일
59,2017-07-20,SS,0,한화,승리, 7:4,1,6.0,2,2,2.00,24,21,4,2,0,0,3,0,0,4,115,1.61,0.245,0.360,0.757,5.24,0.93,0.63,0.150,57,W,7일
60,2017-07-26,SS,0,삼성,패배, 1:5,1,5.0,5,5,5.00,22,20,7,0,0,3,1,0,1,4,102,1.61,0.253,0.364,0.790,5.50,0.75,-1.97,-0.187,36,L,6일
61,2017-08-01,SS,1,한화,승리, 6:7,1,8.0,4,4,4.00,29,26,8,2,0,1,1,0,0,3,107,1.56,0.257,0.360,0.792,5.40,1.11,-0.16,-0.019,52,W,6일
62,2017-08-06,SS,1,삼성,승리, 1:4,1,6.2,0,0,0.00,25,25,6,0,0,0,0,0,0,2,101,1.51,0.256,0.352,0.770,4.98,0.79,3.71,0.281,64,W,5일
63,2017-08-13,SS,0,두산,패배, 1:2,1,8.1,2,0,1.00,31,29,5,0,0,0,2,0,0,6,112,1.45,0.249,0.343,0.741,4.55,1.54,3.81,0.150,73,L,7일
64,2017-08-19,SS,0,넥센,패배, 3:4,1,7.0,4,3,4.00,27,25,6,2,0,0,2,0,0,6,113,1.43,0.249,0.340,0.733,4.50,0.54,0.24,-0.185,55,L,6일
65,2017-08-25,SS,1,KT,승리, 5:7,1,2.1,4,4,3.15,15,12,6,3,0,0,3,0,0,1,73,1.49,0.256,0.349,0.753,4.74,1.05,-1.67,-0.111,27,,6일
66,2017-08-31,SS,0,롯데,패배, 5:8,1,2.1,6,6,6.00,18,14,8,2,0,0,2,0,1,1,74,1.55,0.267,0.359,0.773,5.15,0.93,-6.06,-0.377,16,L,6일
67,2017-09-08,SS,1,SK,승리, 2:4,1,7.0,2,2,2.00,28,26,7,1,0,2,0,0,0,6,96,1.51,0.267,0.355,0.777,4.99,1.16,1.24,0.142,61,W,7+일
68,2017-09-13,SS,1,두산,패배, 13:3,1,2.2,9,9,7.80,20,14,6,2,0,1,6,0,0,5,95,1.58,0.272,0.364,0.797,5.57,0.91,-5.71,-0.368,9,L,5일
69,2017-09-20,SS,1,두산,패배, 3:2,1,7.0,2,2,2.00,27,25,4,0,0,1,2,0,0,7,107,1.54,0.266,0.357,0.782,5.40,1.14,2.24,0.122,66,,7일
70,2017-09-27,SS,0,삼성,승리, 11:1,1,6.0,1,1,1.00,24,22,4,1,0,1,2,0,0,5,111,1.52,0.263,0.353,0.775,5.22,0.93,1.63,0.217,63,W,7일
71,2017-10-03,SS,0,한화,패배, 8:8,1,5.0,4,4,4.00,24,24,9,0,0,1,0,0,0,5,88,1.53,0.268,0.354,0.780,5.29,1.13,-0.97,-0.021,38,,6일
72,2018-05-29,SS,0,한화,패배, 2:7,0,1.1,1,1,0.80,6,3,1,0,0,0,2,0,0,1,23,2.25,0.333,0.500,0.833,6.75,0.93,0.67,0.007,,,7+일
73,2018-05-31,SS,0,한화,승리, 5:4,0,1.0,1,1,0.30,4,3,0,0,0,0,1,0,0,1,18,1.71,0.167,0.400,0.567,7.71,0.79,0.19,0.006,,W,2일
74,2018-06-01,SS,1,삼성,패배, 5:3,0,4.0,1,1,1.00,15,14,3,0,0,1,1,0,0,1,58,1.26,0.200,0.320,0.670,4.26,0.22,1.51,0.030,,,1일
75,2018-06-05,SS,1,롯데,패배, 12:6,0,1.2,0,0,0.00,7,7,2,0,0,0,0,0,0,1,38,1.25,0.222,0.313,0.646,3.38,0.00,0.97,0.001,,,4일
76,2018-06-07,SS,1,롯데,승리, 4:5,0,0.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,2,1.20,0.214,0.303,0.624,3.24,2.78,-0.04,0.070,,W,2일
77,2018-06-09,SS,0,두산,패배, 0:3,0,0.1,2,2,2.50,5,5,4,1,0,0,0,0,0,0,29,1.62,0.303,0.368,0.792,5.19,0.96,-2.70,-0.320,,,2일
78,2018-06-12,SS,1,LG,승리, 4:8,0,4.1,0,0,0.00,15,13,0,0,0,0,2,0,0,7,56,1.23,0.217,0.302,0.606,3.46,0.64,3.09,0.160,,W,3일
79,2018-06-16,SS,1,KT,승리, 1:5,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,1,23,1.29,0.220,0.310,0.610,3.21,0.58,0.63,0.014,,,4일
80,2018-06-20,SS,0,KIA,패배, 5:6,0,1.0,2,2,2.70,7,4,2,1,0,1,2,1,0,1,29,1.47,0.241,0.344,0.733,4.20,1.60,-1.93,-0.525,BLSV,L,4일
81,2018-06-23,SS,1,한화,패배, 8:1,0,0.2,1,1,2.70,3,3,1,0,0,1,0,0,0,1,15,1.47,0.246,0.343,0.782,4.60,0.53,-1.60,-0.057,,,3일
82,2018-06-26,SS,1,두산,승리, 4:5,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,1,13,1.41,0.237,0.333,0.757,4.41,3.54,0.66,0.171,,SV,3일
83,2018-06-29,SS,0,KT,패배, 3:7,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,18,1.38,0.238,0.329,0.742,4.15,0.30,0.63,0.017,,,3일
84,2018-07-03,SS,0,LG,승리, 13:6,0,2.0,2,2,2.00,10,10,4,0,0,0,0,0,0,1,35,1.45,0.260,0.337,0.748,4.66,1.85,-0.31,-0.136,BLHD,,4일
85,2018-07-05,SS,0,LG,승리, 5:3,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,13,1.35,0.247,0.322,0.712,4.35,1.35,1.01,0.143,,SV,2일
86,2018-07-07,SS,0,넥센,패배, 4:6,0,2.0,3,3,2.50,13,9,3,1,0,0,4,0,0,2,52,1.54,0.256,0.350,0.745,5.16,2.24,-0.94,-0.236,,L,2일
87,2018-08-05,SS,0,한화,승리, 10:8,0,0.2,2,2,2.00,4,4,2,1,0,1,0,0,0,0,12,1.59,0.267,0.356,0.800,5.79,1.23,-1.49,-0.152,,,7+일
88,2018-08-07,SS,1,KT,패배, 12:10,0,0.2,2,2,2.00,5,5,3,1,0,2,0,0,0,1,18,1.67,0.284,0.367,0.893,6.38,0.21,-1.76,-0.027,,,2일
89,2018-08-09,SS,1,SK,승리, 3:6,0,0.1,0,0,0.00,2,1,0,0,0,0,1,0,0,1,9,1.68,0.281,0.369,0.890,6.29,2.03,-0.03,-0.008,,HD,2일
90,2018-08-10,SS,1,SK,패배, 12:8,0,1.0,0,0,0.00,5,4,1,0,0,0,1,0,0,1,24,1.70,0.280,0.371,0.881,6.04,0.77,0.63,0.028,,,1일
91,2018-08-12,SS,0,삼성,패배, 2:9,0,1.0,3,3,3.00,6,5,2,0,0,1,1,0,0,0,20,1.75,0.286,0.377,0.910,6.84,0.16,-2.37,-0.039,,,2일
92,2018-08-14,SS,0,KT,패배, 0:10,0,0.1,2,2,0.95,3,2,1,0,0,0,1,0,0,0,18,1.80,0.290,0.384,0.917,7.43,0.00,-0.77,0.000,,,2일
93,2019-03-24,SS,1,삼성,패배, 4:3,0,0.2,2,0,0.80,4,3,0,0,0,0,0,0,1,0,14,0.00,0.000,0.250,0.250,0.00,1.70,0.02,0.004,,,7+일
94,2019-03-26,SS,1,KT,승리, 8:9,0,1.0,0,0,0.00,5,3,0,0,0,0,2,0,0,3,29,1.20,0.000,0.333,0.333,0.00,2.11,0.52,0.074,,HD,2일
95,2019-03-28,SS,1,KT,승리, 2:6,0,1.0,0,0,0.00,6,4,1,0,0,0,2,0,0,0,30,1.88,0.100,0.400,0.500,0.00,2.07,0.52,0.043,,HD,2일
96,2019-03-31,SS,0,한화,승리, 6:3,0,0.1,1,1,1.00,2,2,1,0,0,1,0,0,0,1,9,2.00,0.167,0.412,0.829,3.00,0.69,-0.56,0.002,,HD,3일
97,2019-04-02,SS,1,키움,패배, 8:6,0,0.2,2,2,1.65,5,4,2,1,0,0,1,0,0,0,19,2.45,0.250,0.455,0.955,7.36,2.11,-1.11,-0.342,,L,2일
98,2019-04-04,SS,1,키움,패배, 6:5,0,1.2,0,0,1.05,8,7,2,0,0,0,1,0,0,2,37,2.25,0.261,0.433,0.868,5.06,0.43,-0.29,-0.035,,,2일
99,2019-04-10,SS,0,KIA,패배, 1:2,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,15,2.05,0.259,0.412,0.819,4.26,1.94,0.52,0.137,,,6일
100,2019-04-13,SS,1,롯데,승리, 5:7,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,1,8,1.86,0.241,0.389,0.768,3.86,0.97,0.26,0.049,,W,3일
101,2019-04-16,SS,1,LG,패배, 7:2,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,2,20,1.56,0.212,0.350,0.683,3.24,0.54,0.89,0.056,,,3일
102,2019-04-17,SS,1,LG,패배, 4:2,0,2.0,0,0,0.00,9,9,3,1,0,0,0,0,0,2,36,1.55,0.238,0.347,0.704,2.61,3.00,1.04,0.275,,,1일
103,2019-04-19,SS,0,SK,승리, 14:11,0,1.1,1,1,1.00,5,5,1,0,0,1,0,0,0,4,35,1.46,0.234,0.333,0.737,3.09,0.53,0.37,0.046,,HD,2일
104,2019-04-23,SS,0,KT,승리, 4:3,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,1,16,1.31,0.216,0.310,0.683,2.77,0.61,0.72,0.051,,W,4일
105,2019-04-28,SS,1,한화,승리, 4:10,0,0.2,1,1,1.70,4,3,1,0,0,1,1,0,0,0,24,1.39,0.222,0.323,0.749,3.29,0.04,-1.47,-0.001,,,5일
106,2019-05-02,SS,0,롯데,승리, 7:6,0,1.0,0,0,0.00,4,3,0,0,0,0,0,0,0,1,11,1.30,0.211,0.308,0.712,3.07,2.58,0.52,0.108,,HD,4일
107,2019-05-05,SS,1,KIA,승리, 3:10,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,12,1.21,0.200,0.294,0.677,2.87,0.12,0.52,0.009,,,3일
108,2019-05-09,SS,0,삼성,패배, 4:6,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,20,1.20,0.203,0.292,0.667,2.70,0.33,0.52,0.023,,,4일
109,2019-05-11,SS,1,두산,패배, 12:0,0,0.2,0,0,1.20,4,4,2,0,0,0,0,0,0,1,20,1.27,0.221,0.303,0.685,2.60,0.30,-1.06,-0.039,,,2일
110,2019-05-15,SS,1,SK,패배, 7:3,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,9,1.20,0.211,0.291,0.657,2.45,0.05,0.52,0.004,,,4일
111,2019-05-16,SS,1,SK,승리, 2:5,0,1.0,0,0,0.00,4,4,1,0,0,0,0,0,0,1,14,1.19,0.213,0.289,0.649,2.33,0.78,0.52,0.055,,W,1일
112,2019-05-18,SS,0,LG,승리, 9:3,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,15,1.18,0.205,0.287,0.633,2.21,0.20,0.52,0.007,,,2일
113,2019-05-24,SS,1,SK,패배, 4:2,0,1.0,1,1,1.00,4,3,1,0,0,1,1,0,0,0,17,1.22,0.210,0.297,0.680,2.53,0.60,-0.48,-0.090,,,6일
114,2019-05-25,SS,1,SK,승리, 7:10,0,2.1,0,0,0.00,8,8,1,0,0,0,0,0,0,2,31,1.14,0.202,0.283,0.643,2.28,1.11,0.41,0.147,,W,1일
115,2019-05-28,SS,1,롯데,패배, 9:4,0,0.1,4,4,5.20,6,5,4,1,0,0,1,0,0,1,23,1.33,0.234,0.314,0.708,3.75,2.33,-5.40,-0.551,BLHD,,3일
116,2019-05-30,SS,1,롯데,패배, 10:2,0,0.2,2,2,1.15,5,3,1,0,0,0,2,0,0,0,16,1.42,0.237,0.327,0.719,4.38,1.66,-0.48,-0.040,,,2일
117,2019-06-04,SS,0,삼성,패배, 1:3,0,1.0,1,1,1.00,6,5,2,0,0,1,1,0,0,2,22,1.48,0.245,0.336,0.758,4.56,0.64,-0.48,-0.077,,,5일
118,2019-06-09,SS,1,KIA,승리, 3:4,0,1.1,0,0,0.00,5,4,1,0,0,0,1,0,0,1,21,1.48,0.245,0.339,0.754,4.33,1.94,1.37,0.149,,W,5일
119,2019-06-11,SS,1,키움,패배, 9:8,0,0.1,0,0,0.00,3,1,0,0,0,0,2,0,0,0,15,1.54,0.243,0.347,0.758,4.28,2.62,0.34,0.040,,HD,2일
120,2019-06-12,SS,1,키움,패배, 5:4,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,19,1.48,0.236,0.339,0.739,4.13,1.81,0.52,0.137,,,1일
121,2019-06-15,SS,0,SK,패배, 0:4,0,1.0,0,0,0.00,5,2,0,0,0,0,2,0,1,0,25,1.50,0.232,0.348,0.741,3.99,1.10,0.52,0.047,,,3일
122,2019-06-18,SS,0,두산,패배, 7:10,0,1.1,0,0,0.00,4,4,0,0,0,0,0,0,0,1,11,1.43,0.224,0.338,0.717,3.82,0.38,0.78,0.039,,,3일
123,2019-06-21,SS,0,KT,패배, 0:5,0,2.0,1,1,1.85,7,6,1,0,0,1,1,0,0,2,26,1.41,0.221,0.336,0.729,3.86,0.46,0.14,-0.060,,,3일
124,2019-06-23,SS,0,KT,패배, 2:4,0,1.1,3,3,2.30,10,10,6,2,0,0,0,0,0,2,27,1.53,0.250,0.353,0.777,4.50,2.20,-1.07,-0.176,BLHD,L,2일
125,2019-06-25,SS,1,한화,패배, 14:3,0,0.1,1,1,0.85,3,2,1,0,0,0,0,0,1,0,9,1.54,0.254,0.359,0.784,4.72,0.84,-0.32,-0.012,,,2일
126,2019-06-27,SS,1,한화,승리, 5:10,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,3,11,1.50,0.248,0.352,0.768,4.58,0.08,0.52,0.006,,,2일
127,2019-06-28,SS,1,LG,패배, 6:2,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,1,15,1.46,0.243,0.346,0.753,4.46,2.17,1.90,0.177,,,1일
128,2019-06-30,SS,1,LG,승리, 1:9,0,1.1,0,0,0.00,5,5,1,0,0,0,0,0,0,1,12,1.43,0.241,0.341,0.741,4.30,0.09,0.89,0.012,,,2일
129,2019-07-02,SS,0,KIA,패배, 3:5,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,2,10,1.40,0.236,0.335,0.727,4.19,1.42,0.52,0.108,,HD,2일
130,2019-07-03,SS,0,KIA,승리, 8:4,0,1.1,0,0,0.00,5,5,1,0,0,0,0,0,0,0,22,1.38,0.235,0.331,0.717,4.05,0.36,0.72,0.022,,,1일
131,2019-07-05,SS,1,삼성,승리, 3:7,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,2,18,1.37,0.231,0.330,0.708,3.95,1.94,1.20,0.107,,HD,2일
132,2019-07-06,SS,1,삼성,패배, 2:2,0,1.0,0,0,0.00,3,3,0,0,0,0,0,0,0,0,10,1.33,0.226,0.324,0.695,3.86,1.41,0.52,0.107,,,1일
133,2019-07-09,SS,0,롯데,패배, 1:4,0,1.0,2,2,1.15,6,5,2,0,0,0,1,0,0,0,33,1.37,0.232,0.330,0.702,4.19,2.00,-0.23,-0.106,,L,3일
134,2019-08-30,SS,1,KIA,패배, 8:2,0,1.0,0,0,0.00,5,5,2,0,0,0,0,0,0,0,21,1.39,0.237,0.332,0.705,4.09,0.01,0.52,0.001,,,7+일
135,2019-08-31,SS,1,키움,패배, 9:3,0,0.1,1,1,2.20,2,2,1,0,0,1,0,0,0,0,9,1.40,0.240,0.333,0.725,4.26,0.13,-2.56,-0.031,,,1일
136,2019-09-03,SS,0,SK,패배, 1:8,0,1.0,1,1,1.00,5,3,1,1,0,0,0,0,1,2,20,1.39,0.241,0.337,0.734,4.37,0.56,-0.48,-0.049,,,3일
137,2019-09-07,SS,0,삼성,승리, 8:2,0,1.0,1,1,1.00,4,4,1,0,0,1,0,0,0,1,21,1.38,0.242,0.335,0.745,4.47,0.18,-0.48,0.004,,,4일
